N-Number,Serial Number,MFR MDL Code,Eng MFR Code,Year MFR,Type Registrant,Name,Street 1,Street2,City,State,ZIP,Region,County ,Country,Last Activity Date,Cert Issue Date,Certification Requested ,Type Aircraft,Type Engine,Status Code,Mode S Code,Fractional  Ownership,Airworthiness Date,Other Name 1,Other Name 2,Other Name 3,Other Name 4,Other Name 5,Expiration Date,Unique ID,Kit MFR Code,Kit Model,Mose S Code Hex
75410,30127,13848A1,13802,2001,NULL,"UNITED AIRLINES INC                               ","ATTN: TREASURER WILLIS TOWER     ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20150818,20011206,"1T        ",5,5,"V ",52425571," ",20011204,NULL,NULL,NULL,NULL,NULL,20190131,753954,"    ",NULL,NULL
31412,30129,13848A1,13802,2002,NULL,"UNITED AIRLINES INC                               ","ATTN: TREASURER WILLIS TOWER     ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20160818,20020416,"1T        ",5,5,"V ",50654103," ",20020414,NULL,NULL,NULL,NULL,NULL,20200131,104037,"    ",NULL,NULL
202WN,33999,1384404,13802,2005,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20160830,20050309,"1T        ",5,5,"V ",50315562," ",20050217,NULL,NULL,NULL,NULL,NULL,20191231,114049,"    ",NULL,NULL
656AA,24614,1384957,54555,1991,NULL,"AMERICAN AIRLINES INC                             ","4333 AMON CARTER BLVD # 5569     ","                                 ","FT WORTH          ",TX,761552605,2,439,US,20150518,19911106,"1T        ",5,5,"V ",52121405," ",19911106,NULL,NULL,NULL,NULL,NULL,20181031,794381,"    ",NULL,NULL
817UA,873,3930317,34601,1998,NULL,"UNITED AIRLINES INC                               ","ATTN TREASURER WILLIS TOWER      ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151209,20130401,"1T        ",5,4,"V ",52622440," ",19980928,NULL,NULL,NULL,NULL,NULL,20190430,693716,"    ",NULL,NULL
3749D,30490,13844CF,13802,2001,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595                         ","ATLANTA           ",GA,303543743,7,121,US,20140508,20010626,"1T        ",5,4,"V ",51043076," ",20010609,NULL,NULL,NULL,NULL,NULL,20170831,3735,"    ",NULL,NULL
11539,145536,3260212,54571,2001,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150129,20020529,"1T        ",5,5,25,50040651," ",20011207,NULL,NULL,NULL,NULL,NULL,20170430,173977,"    ",NULL,NULL
732AA,258243,7450002,33902,1993,NULL,"ACME LEASING LLC                                  ","635 HANGAR LN                    ","                                 ","NASHVILLE         ",TN,372172591,3,37,US,20161208,20161208,"1T        ",5,4,"V ",52351172," ",20100827,NULL,NULL,NULL,NULL,NULL,20191231,1054495,"    ",NULL,NULL
12567,145623,3260212,54571,2002,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FL             ","MAC: U1228-51                    ","SALT LAKE CITY    ",UT,84111,S,35,US,20150128,20020826,"1T        ",5,5,"V ",50064617," ",20020802,NULL,NULL,NULL,NULL,NULL,20180131,844197,"    ",NULL,NULL
913DN,53393,3023690,34601,1996,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,30354,7,121,US,20160408,19970117,"1T        ",5,4,"V ",53121050," ",19961012,NULL,NULL,NULL,NULL,NULL,20190630,275861,"    ",NULL,NULL
165AA,152,5170511,30035,1974,NULL,"USA JET AIRLINES INC                              ","2068 E ST                        ","                                 ","BELLEVILLE        ",MI,481111262,C,163,US,20110415,20080506,"1T        ",5,4,28,50202102," ",19980722,NULL,NULL,NULL,NULL,NULL,20140430,242105,"    ",NULL,NULL
804UA,759,3930317,34601,1997,NULL,"UNITED AIRLINES INC                               ","ATTN: TREASURER WILLIS TOWER     ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151211,20130401,"1T        ",5,4,"V ",52571174," ",19980217,NULL,NULL,NULL,NULL,NULL,20190430,126931,"    ",NULL,NULL
451WN,32495,1384404,13802,2004,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20161116,20040326,"1T        ",5,5,"V ",51273724," ",20040225,NULL,NULL,NULL,NULL,NULL,20200131,59929,"    ",NULL,NULL
197DN,28454,1385101,52119,1997,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,303543743,7,121,US,20160408,19971224,"1T        ",5,5,"V ",50301204," ",19971222,NULL,NULL,NULL,NULL,NULL,20190630,256411,"    ",NULL,NULL
110AA,"M3X05-4-00073                 ",05622NN,55572,2007,NULL,"BIGELOW MICHAEL A                                 ","100 GIARDINO DR                  ","                                 ","ISLAMORADA        ",FL,330363312,7,87,US,20130821,20070222,42,4,8,28,50026064," ",20070531,NULL,NULL,NULL,NULL,NULL,20160831,314179,824,NULL,NULL
23708,28769,13844BY,13802,1998,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150129,19980602,"1T        ",5,4,"V ",50422372," ",19980529,NULL,NULL,NULL,NULL,NULL,20170831,766961,"    ",NULL,NULL
26215,28775,13844BZ,13802,1998,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC  U1228-51                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150130,19980805,"1T        ",5,5,"V ",50504404," ",19980801,NULL,NULL,NULL,NULL,NULL,20180131,86971,"    ",NULL,NULL
19117,27559,1384958,54555,1996,NULL,"UNITED AIRLINES INC                               ","233 S WACKER DR                  ","                                 ","CHICAGO           ",IL,606067147,C,31,US,20160718,20131231,"1T        ",5,4,"V ",50267175," ",19960424,NULL,NULL,NULL,NULL,NULL,20191231,835901,"    ",NULL,NULL
374NW,1646,3930322,13802,2001,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,303543743,7,121,US,20160408,20091231,"1T        ",5,5,"V ",51041750," ",20020130,NULL,NULL,NULL,NULL,NULL,20190630,943997,"    ",NULL,NULL
17159,145792,3260214,54582,2004,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20160513,20040317,"1T        ",5,5,"V ",50220015," ",20040319,NULL,NULL,NULL,NULL,NULL,20191031,95999,"    ",NULL,NULL
495WN,33869,1384404,13802,2004,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20160305,20050124,"1T        ",5,5,"V ",51422254," ",20041222,NULL,NULL,NULL,NULL,NULL,20190630,113979,"    ",NULL,NULL
705JB,3416,3940004,34604,2008,NULL,"JETBLUE AIRWAYS CORP                              ","27-01 QUEENS PLAZA NORTH         ","                                 ","LONG ISLAND CITY  ",NY,111014020,1,81,US,20160404,20080229,"1T        ",5,5,"V ",52263753," ",20080301,NULL,NULL,NULL,NULL,NULL,20190731,471029,"    ",NULL,NULL
427SW,7497,1390008,30015,2001,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ",299 S MAIN ST 5TH FL MAC U1228-51,"                                 ","SALT LAKE CITY    ",UT,84111,S,35,US,20161110,20010418,"1T        ",5,5,"V ",51213505," ",20010505,NULL,NULL,NULL,NULL,NULL,20200229,863814,"    ",NULL,NULL
611SW,27697,138447K,13802,1995,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR HDQ-4GC       ","                                 ","DALLAS            ",TX,75235,2,113,US,20150408,19951020,"1T        ",5,5,"V ",51772032," ",19950912,NULL,NULL,NULL,NULL,NULL,20180831,705482,"    ",NULL,NULL
961DL,49980,3023688,52053,1990,NULL,"DELTA AIR LINES INC                               ","DEPT 595 AIRCRAFT REGISTRATIONS  ","1775 M H JACKSON SERVICE RD      ","ATLANTA           ",GA,30354,7,121,US,20160429,20160429,"1T        ",5,5,"V ",53260063," ",19900525,NULL,NULL,NULL,NULL,NULL,20190430,744961,"    ",NULL,NULL
944JB,"                              ","       ","     ","    ",NULL,"CANCELLED/NOT ASSIGNED                            ","                                 ","                                 ","                  ","  ","          "," ","   ","  ","        ","        ","          "," ","  ",5,53216316," ","        ",NULL,NULL,NULL,NULL,NULL,"        ","        ","    ",NULL,NULL
204WN,29855,1384404,13802,2005,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20160830,20050318,"1T        ",5,5,"V ",50321340," ",20050309,NULL,NULL,NULL,NULL,NULL,20191231,114069,"    ",NULL,NULL
434WN,32454,1384404,13802,2003,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR HDQ-4GC       ","                                 ","DALLAS            ",TX,75235,2,113,US,20140512,20030611,"1T        ",5,5,"V ",51231773," ",20030424,NULL,NULL,NULL,NULL,NULL,20170831,31919,"    ",NULL,NULL
609AS,29752,13844CN,13802,1999,NULL,"ALASKA AIRLINES INC                               ","C/O LEGAL DEPT - SEAZL           ","19300 INTERNATIONAL BLVD         ","SEATTLE           ",WA,98188,S,33,US,20140814,19990824,"1T        ",5,5,"V ",51764277," ",19990820,NULL,NULL,NULL,NULL,NULL,20180131,883657,"    ",NULL,NULL
928DL,49715,3023688,52053,1988,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,303543743,7,121,US,20160331,19881202,"1T        ",5,5,"V ",53156070," ",19881031,NULL,NULL,NULL,NULL,NULL,20190531,834121,"    ",NULL,NULL
749AA,"414-0049                      ",2075908,17032,1970,NULL,"OSPREY AIR SERVICES INC                           ","3511 SILVERSIDE RD STE 105       ","                                 ","WILMINGTON        ",DE,198104902,1,3,US,20060911,20030513,"1N        ",5,1,24,52411772," ",19990826,NULL,NULL,NULL,NULL,NULL,20110930,755792,"    ",NULL,NULL
13992,145284,3260212,3030,2000,NULL,"UNITED AIRLINES INC                               ","ATTN TREASURER WILLIS TOWER      ","233 SOUTH WACKER DRIVE           ","CHICAGO           ",IL,60606,C,31,US,20150225,20001020,"1T        ",5,5,"V ",50120116," ",20000708,NULL,NULL,NULL,NULL,NULL,20180731,615880,"    ",NULL,NULL
253WN,32511,1384404,13044,2006,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20150202,20060926,"1T        ",5,5,"V ",50462244," ",20060902,NULL,NULL,NULL,NULL,NULL,20180531,218769,"    ",NULL,NULL
538AA,"                              ","       ","     ","    ",NULL,"CANCELLED/NOT ASSIGNED                            ","                                 ","                                 ","                  ","  ","          "," ","   ","  ","        ","        ","          "," ","  ",5,51547046," ","        ",NULL,NULL,NULL,NULL,NULL,"        ","        ","    ",NULL,NULL
449UA,851,3930326,34601,1998,NULL,"UNITED AIRLINES INC                               ","ATTN: TREASURER WILLIS TOWER     ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151209,20130401,"1T        ",5,5,"V ",51266717," ",19980824,NULL,NULL,NULL,NULL,NULL,20190430,473646,"    ",NULL,NULL
481HA,55126,1383700,9500,2001,NULL,"HAWAIIAN AIRLINES INC                             ","3375 KOAPAKA STREET STE G-350    ","                                 ","HONOLULU          ",HI,96819,4,3,US,20140423,20110628,"1T        ",5,5,"V ",51366400," ",20010713,NULL,NULL,NULL,NULL,NULL,20170630,813604,"    ",NULL,NULL
48901,145501,3260212,54571,2001,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC: U1228-51                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150130,20020702,"1T        ",5,5,"V ",51406172," ",20010921,NULL,NULL,NULL,NULL,NULL,20171031,243847,"    ",NULL,NULL
15983,145239,3260212,3030,2000,NULL,"UNITED AIRLINES INC                               ","ATTN TREASURER WILLIS TOWER      ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20150225,20001020,"1T        ",5,5,"V ",50167452," ",20000324,NULL,NULL,NULL,NULL,NULL,20180731,915650,"    ",NULL,NULL
290WN,36632,1384404,13044,2007,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20150202,20070917,"1T        ",5,5,"V ",50573573," ",20070823,NULL,NULL,NULL,NULL,NULL,20180531,302019,"    ",NULL,NULL
407AS,41731,13848CE,13078,2012,NULL,"ALASKA AIRLINES INC                               ","C/O LEGAL DEPT - SEAZL           ","19300 INTERNATIONAL BLVD         ","SEATAC            ",WA,981885304,S,33,US,20150810,20121218,"1T        ",5,5,"V ",51143263," ",20121206,NULL,NULL,NULL,NULL,NULL,20181231,1107616,"    ",NULL,NULL
927SW,7693,1390008,30015,2002,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150225,20031009,"1T        ",5,5,"V ",53154720," ",20021017,NULL,NULL,NULL,NULL,NULL,20180731,12489,"    ",NULL,NULL
981EV,7768,1390008,30015,2003,NULL,"US BANK NA TRUSTEE                                ","CORPORATE TRUST SERVICES         ","300 DELAWARE AVE FL 9            ","WILMINGTON        ",DE,198011607,1,3,US,20160720,20100311,"1T        ",5,5,"V ",53327523," ",20030305,NULL,NULL,NULL,NULL,NULL,20191231,35209,"    ",NULL,NULL
771UA,26932,1385219,52119,1995,NULL,"UNITED AIRLINES INC                               ","ATTN: TREASURER WILLIS TOWER     ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151211,20130401,"1T        ",5,5,"V ",52467201," ",19951122,NULL,NULL,NULL,NULL,NULL,20190430,294102,"    ",NULL,NULL
908SW,7540,1390008,30015,2001,NULL,"SKYWEST AIRLINES INC                              ","444 S RIVER RD                   ","                                 ","ST GEORGE         ",UT,847902085,S,53,US,20140528,20010727,"1T        ",5,5,"V ",53107211," ",20011018,NULL,NULL,NULL,NULL,NULL,20171031,514034,"    ",NULL,NULL
357SW,26594,138447K,13802,1992,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR HDQ-4GC       ","                                 ","DALLAS            ",TX,75235,2,113,US,20160531,19920610,"1T        ",5,5,"V ",51000163," ",19920527,NULL,NULL,NULL,NULL,NULL,20170831,913762,"    ",NULL,NULL
568WN,32583,13844CH,13043,2001,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20150205,20150115,"1T        ",5,5,"V ",51643243," ",20141205,NULL,NULL,NULL,NULL,NULL,20180131,1166389,"    ",NULL,NULL
15710,28780,13844BY,13802,1998,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150129,19980901,"1T        ",5,4,"V ",50163304," ",19980830,NULL,NULL,NULL,NULL,NULL,20180531,786961,"    ",NULL,NULL
302NB,1062,3930350,13802,1999,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC: U1228-51                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150827,19991222,"1T        ",5,5,"V ",50623756," ",20000118,NULL,NULL,NULL,NULL,NULL,20190131,845852,"    ",NULL,NULL
881AS,7496,1390008,30015,2001,NULL,"EXPRESSJET AIRLINES INC                           ","ATTN: DIRECTOR-QUALITY           ","990 TOFFIE TER                   ","ATLANTA           ",GA,303541363,7,121,US,20150109,20010823,"1T        ",5,5,"V ",53020635," ",20011022,NULL,NULL,NULL,NULL,NULL,20180228,704084,"    ",NULL,NULL
668AA,25333,1384957,54555,1992,NULL,"AMERICAN AIRLINES INC                             ","PO BOX 619616  MD 5661           ","                                 ","DFW AIRPORT       ",TX,75261,2,113,US,20140415,19920610,"1T        ",5,5,"V ",52150762," ",19920610,NULL,NULL,NULL,NULL,NULL,20170831,995301,"    ",NULL,NULL
913WN,29840,1384404,13044,2008,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DRIVE            ","HDQ-4GC                          ","DALLAS            ",TX,75235,2,113,US,20161116,20080424,"1T        ",5,5,"V ",53121721," ",20080302,NULL,NULL,NULL,NULL,NULL,20200331,428579,"    ",NULL,NULL
784SK,10284,1390015,30052,2009,NULL,"SKYWEST AIRLINES INC                              ","444 SOUTH RIVER ROAD             ","                                 ","ST GEORGE         ",UT,84790,S,53,US,20150318,20090908,"1T        ",5,5,"V ",52520374," ",20090908,NULL,NULL,NULL,NULL,NULL,20180430,1039700,"    ",NULL,NULL
320AS,33680,1384526,13802,2003,NULL,"ALASKA AIRLINES INC                               ","C/O LEGAL DEPT - SEAZLVD         ","19300 INTERNATIONAL BLVD         ","SEATAC            ",WA,981885304,S,33,US,20150331,20031001,"1T        ",5,4,"V ",50667141," ",20030923,NULL,NULL,NULL,NULL,NULL,20180831,23049,"    ",NULL,NULL
27903,34823,1388002,30163,2012,NULL,"UNITED AIRLINES INC                               ","ATTN TREASURER WILLIS TOWER      ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20150807,20121221,"1T        ",5,5,"V ",50545137," ",20121220,NULL,NULL,NULL,NULL,NULL,20181231,1104708,"    ",NULL,NULL
798SW,28436,1384502,99999,1998,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DRIVE HDQ-4GC    ","                                 ","DALLAS            ",TX,752351908,2,113,US,20140224,20000503,"1T        ",5,4,"V ",52553542," ",19980513,NULL,NULL,NULL,NULL,NULL,20170630,206941,"    ",NULL,NULL
613QX,10045,1390015,"     ","    ",NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150129,20020723,"          ",5,5,"V ",51775527," ","        ",NULL,NULL,NULL,NULL,NULL,20171031,707321,"    ",NULL,NULL
339NW,367,3930322,13802,1992,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,303543743,7,121,US,20160408,20091231,"1T        ",5,5,"V ",50734177," ",19960718,NULL,NULL,NULL,NULL,NULL,20190630,424182,"    ",NULL,NULL
448UA,842,3930326,34601,1998,NULL,"UNITED AIRLINES INC                               ","ATTN TREASURER WILLIS TOWER      ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151209,20130401,"1T        ",5,5,"V ",51265030," ",19980803,NULL,NULL,NULL,NULL,NULL,20190430,883606,"    ",NULL,NULL
639SW,27712,138447K,13802,1996,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20150727,19961113,"1T        ",5,5,"V ",52060320," ",19961009,NULL,NULL,NULL,NULL,NULL,20181130,995861,"    ",NULL,NULL
705SW,27839,1384404,13802,1998,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20161116,19980428,"1T        ",5,5,"V ",52264306," ",19980330,NULL,NULL,NULL,NULL,NULL,20200331,276171,"    ",NULL,NULL
928SW,7701,1390008,30015,2002,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150225,20031009,"1T        ",5,5,"V ",53156607," ",20021030,NULL,NULL,NULL,NULL,NULL,20180731,14759,"    ",NULL,NULL
714FR,7294,3940005,13802,2016,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1128-051                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20160907,20160907,"1T        ",5,5,"V ",52305566," ",20160908,NULL,NULL,NULL,NULL,NULL,20190930,1225943,"    ",NULL,NULL
8320J,36686,138440A,13078,2012,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20150408,20120917,"1T        ",5,5,"V ",52661051," ",20120828,NULL,NULL,NULL,NULL,NULL,20180930,1083180,"    ",NULL,NULL
7719A,32666,13844CH,13802,2005,NULL,"AFS INVESTMENTS 54 LLC                            ","ATTN:OPERATIONS LEADER           ","901 MAIN AVE                     ","NORWALK           ",CT,68511168,E,1,US,20160311,20060109,"1T        ",5,5,"V ",52470122," ",20051220,NULL,NULL,NULL,NULL,NULL,20190430,208959,"    ",NULL,NULL
807UA,798,3930317,34601,1998,NULL,"UNITED AIRLINES INC                               ","ATTN TREASURER WILLIS TOWER      ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151211,20130401,"1T        ",5,4,"V ",52576641," ",19980414,NULL,NULL,NULL,NULL,NULL,20190430,827101,"    ",NULL,NULL
531NK,3026,3940015,34608,2007,NULL,"WILMINGTON TRUST CO TRUSTEE                       ","1100 N MARKET ST                 ","                                 ","WILMINGTON        ",DE,198901100,1,3,US,20151030,20130212,"1T        ",5,5,"V ",51532532," ",20070301,NULL,NULL,NULL,NULL,NULL,20190228,329439,"    ",NULL,NULL
896AT,55048,1383700,54565,2005,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20160616,20050322,"1T        ",5,5,"V ",53055660," ",20050308,NULL,NULL,NULL,NULL,NULL,20191130,152349,"    ",NULL,NULL
7723E,32670,13844CH,13802,2006,NULL,"AFS INVESTMENTS 56 LLC                            ","ATTN: OPERATIONS LEADER          ","901 MAIN AVE                     ","NORWALK           ",CT,68511168,E,1,US,20160822,20060424,"1T        ",5,5,"V ",52471473," ",20060317,NULL,NULL,NULL,NULL,NULL,20200131,226239,"    ",NULL,NULL
7742B,33928,1384511,13043,2007,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20161116,20140211,"1T        ",5,5,"V ",52475203," ",20070219,NULL,NULL,NULL,NULL,NULL,20200229,314719,"    ",NULL,NULL
7727A,32673,13844CH,13043,2006,NULL,"AFS INVESTMENTS 54 LLC                            ","ATTN:OPERATIONS LEADER           ","901 MAIN AVE                     ","NORWALK           ",CT,68511168,E,1,US,20151221,20060615,"1T        ",5,5,"V ",52471703," ",20060511,NULL,NULL,NULL,NULL,NULL,20170731,238749,"    ",NULL,NULL
926DH,53588,13848ME,34609,"    ",NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595                         ","ATLANTA           ",GA,303543743,7,121,US,20141024,20100820,"1T        ",5,5,"V ",53152307," ",20110703,NULL,NULL,NULL,NULL,NULL,20180228,1057670,"    ",NULL,NULL
794UA,26953,1385219,51538,1997,NULL,"UNITED AIRLINES INC                               ","ATTN: TREASURER WILLIS TOWER     ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151211,20130401,40,5,5,"V ",52544244," ",20100420,NULL,NULL,NULL,NULL,NULL,20190430,566651,"    ",NULL,NULL
652SW,27722,138447K,13802,1997,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20150408,19971010,"1T        ",5,5,"V ",52112715," ",19970808,NULL,NULL,NULL,NULL,NULL,20180831,786231,"    ",NULL,NULL
712AA,"                              ","       ","     ","    ",NULL,"CANCELLED/NOT ASSIGNED                            ","                                 ","                                 ","                  ","  ","          "," ","   ","  ","        ","        ","          "," ","  ",5,52301574," ","        ",NULL,NULL,NULL,NULL,NULL,"        ","        ","    ",NULL,NULL
656SW,28401,138447K,13802,1997,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20151204,19971203,"1T        ",5,5,"V ",52122251," ",19970926,NULL,NULL,NULL,NULL,NULL,20190331,16781,"    ",NULL,NULL
487CA,7729,1390008,30015,2002,NULL,"DELTA AIR LINES INC                               ","DEPT 595 AIRCRAFT REGISTRATIONS  ","1775 MH JACKSON SERVICE RD       ","ATLANTA           ",GA,30354,7,121,US,20150812,20121101,"1T        ",5,5,"V ",51401315," ",20030109,NULL,NULL,NULL,NULL,NULL,20181130,26089,"    ",NULL,NULL
696DL,29728,1384965,52117,1999,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,303543743,7,121,US,20160408,19990129,"1T        ",5,5,"V ",52240526," ",19990127,NULL,NULL,NULL,NULL,NULL,20190630,603666,"    ",NULL,NULL
915SW,7615,1390008,"     ","    ",NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20161026,20020423,"          ",5,5,"V ",53125343," ","        ",NULL,NULL,NULL,NULL,NULL,20200229,344107,"    ",NULL,NULL
344AA,1186,3980115,54562,1992,NULL,"ABSOLUTAMENTE LLC                                 ","9240 OLD REDWOOD HWY UNIT 200    ","                                 ","WINDSOR           ",CA,954929349,4,97,US,20151112,20151112,"1T        ",5,5,"V ",50746053," ",19981028,NULL,NULL,NULL,NULL,NULL,20181130,453712,"    ",NULL,NULL
989AT,55152,1383700,54565,2001,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC: U1228-51                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150129,20020603,"1T        ",5,5,"V ",53346245," ",20020509,NULL,NULL,NULL,NULL,NULL,20170930,4167,"    ",NULL,NULL
810UA,843,3930317,34601,1998,NULL,"UNITED AIRLINES INC                               ","ATTN: TREASURER WILLIS TOWER     ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151211,20130401,"1T        ",5,4,"V ",52605437," ",19980803,NULL,NULL,NULL,NULL,NULL,20190430,567281,"    ",NULL,NULL
363NB,1990,3940002,13802,2003,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,303543743,7,121,US,20160316,20091231,"1T        ",5,5,"V ",51014237," ",20030701,NULL,NULL,NULL,NULL,NULL,20190630,53459,"    ",NULL,NULL
