N-Number,Serial Number,MFR MDL Code,Eng MFR Code,Year MFR,Type Registrant,Name,Street 1,Street2,City,State,ZIP,Region,County ,Country,Last Activity Date,Cert Issue Date,Certification Requested ,Type Aircraft,Type Engine,Status Code,Mode S Code,Fractional  Ownership,Airworthiness Date,Other Name 1,Other Name 2,Other Name 3,Other Name 4,Other Name 5,Expiration Date,Unique ID,Kit MFR Code,Kit Model,Mose S Code Hex
356SW,25251,138447K,13802,1991,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR HDQ-4GC       ","                                 ","DALLAS            ",TX,75235,2,113,US,20141007,19910816,"1T        ",5,5,"V ",50776274," ",19910809,NULL,NULL,NULL,NULL,NULL,20180228,555421,"    ",NULL,NULL
476UA,1508,3930326,34601,2001,NULL,"UNITED AIRLINES INC                               ","ATTN: TREASURER WILLIS TOWER     ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151211,20130401,"1T        ",5,5,"V ",51354447," ",20010724,NULL,NULL,NULL,NULL,NULL,20190430,173994,"    ",NULL,NULL
917EV,7769,1390008,30015,2003,NULL,"EXPRESSJET AIRLINES INC                           ","ATTN: DIRECTOR - MAINTENANCE     ","990 TOFFIE TER                   ","ATLANTA           ",GA,303541363,7,121,US,20160811,20030326,"1T        ",5,5,"V ",53130444," ",20030326,NULL,NULL,NULL,NULL,NULL,20191130,38659,"    ",NULL,NULL
78060,29455,1385270,30025,2002,NULL,"UNITED AIRLINES INC                               ","ATTN TREASURER WILLIS TOWER      ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20160311,20020205,"1T        ",5,4,"V ",52511711," ",20020130,NULL,NULL,NULL,NULL,NULL,20190831,864027,"    ",NULL,NULL
71411,30128,13848A1,13802,2002,NULL,"UNITED AIRLINES INC                               ","ATTN: TREASURER WILLIS TOWER     ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151209,20020123,"1T        ",5,5,"V ",52306576," ",20020121,NULL,NULL,NULL,NULL,NULL,20190430,94037,"    ",NULL,NULL
789AA,123,2130001,17042,2001,NULL,"GPIE INC                                          ","2806 BROOK RIVER CT              ","                                 ","SUGAR LAND        ",TX,774791553,2,157,US,20150818,20130111,"1N        ",4,1,"V ",52530766," ",20011207,NULL,NULL,NULL,NULL,NULL,20190131,583967,"    ",NULL,NULL
825DN,31936,138488K,13078,2014,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FL             ","MAC U1228-51                     ","SALT LAKE CITY    ",UT,84111,S,35,US,20150130,20140808,"1T        ",5,5,"V ",52641706," ",20140730,NULL,NULL,NULL,NULL,NULL,20170831,1137964,"    ",NULL,NULL
841DN,31952,138488K,13078,2015,NULL,"DELTA AIR LINES INC                               ","DEPT 595 AIRCRAFT REGISTRATIONS  ","1775 MH JACKSON SERVICE RD       ","ATLANTA           ",GA,303543743,7,121,US,20150618,20150618,"1T        ",5,5,"V ",52701750," ",20150618,NULL,NULL,NULL,NULL,NULL,20180630,1169101,"    ",NULL,NULL
793AS,28888,138449M,13802,1998,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC: U1228-51                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20160830,19980325,"1T        ",5,4,"V ",52541473," ",19980204,NULL,NULL,NULL,NULL,NULL,20191130,27011,"    ",NULL,NULL
832DN,31943,138488K,13078,2015,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,303543743,7,121,US,20150122,20150122,"1T        ",5,5,"V ",52660040," ",20150122,NULL,NULL,NULL,NULL,NULL,20180131,1159505,"    ",NULL,NULL
16546,145562,3260212,54571,2002,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150129,20020530,"1T        ",5,5,25,50203504," ",20020209,NULL,NULL,NULL,NULL,NULL,20170531,994077,"    ",NULL,NULL
834DN,31946,138488K,13078,2015,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","                                 ","ATLANTA           ",GA,303543743,7,121,US,20150227,20150227,"1T        ",5,5,"V ",52663616," ",20150222,NULL,NULL,NULL,NULL,NULL,20180228,1159511,"    ",NULL,NULL
835DN,31945,138488K,13078,2015,NULL,"DELTA AIR LINES INC                               ","1755 M H JACKSON SERVICE RD      ","DEPT 595                         ","ATLANTA           ",GA,30354,7,121,US,20150302,20150302,"1T        ",5,5,"V ",52665505," ",20150227,NULL,NULL,NULL,NULL,NULL,20180331,1159513,"    ",NULL,NULL
837DN,31948,138488K,13078,2015,NULL,"DELTA AIR LINES INC                               ","DEPT 595 AIRCRAFT REGISTRATIONS  ","1775 MH JACKSON SERVICE RD       ","ATLANTA           ",GA,30354,7,121,US,20150326,20150326,"1T        ",5,5,"V ",52671263," ",20150319,NULL,NULL,NULL,NULL,NULL,20180331,1169097,"    ",NULL,NULL
810DN,31922,138488K,13078,2013,NULL,"DELTA AIR LINES INC                               ","DEPT 595 AIRCRAFT REGISTRATIONS  ","1775 MH JACKSON SERVICE RD       ","ATLANTA           ",GA,30354,7,121,US,20160919,20131209,"1T        ",5,5,"V ",52604664," ",20131202,NULL,NULL,NULL,NULL,NULL,20191231,1127113,"    ",NULL,NULL
521JB,1452,3930326,34601,2001,NULL,"JETBLUE AIRWAYS CORP                              ","2701 QUEENS PLZ N                ","                                 ","LONG ISLAND CITY  ",NY,111014020,1,81,US,20161012,20161012,"1T        ",5,5,"V ",51506557," ",20010511,NULL,NULL,NULL,NULL,NULL,20191031,343824,"    ",NULL,NULL
866AA,21371,1384074,52048,1977,NULL,"KALITTA CHARTERS II LLC                           ","843 WILLOW RUN AIRPORT           ","                                 ","YPSILANTI         ",MI,481980899,C,161,US,20140512,20111005,"1T        ",5,4,"V ",52762442," ",19770712,NULL,NULL,NULL,NULL,NULL,20171031,282421,"    ",NULL,NULL
7711N,32657,13844CH,13802,2005,NULL,"AFS INVESTMENTS 57 LLC                            ","901 MAIN AVENUE                  ","ATTN OPERATIONS LEADER           ","NORWALK           ",CT,6851,E,1,US,20160822,20050420,"1T        ",5,5,"V ",52467506," ",20050408,NULL,NULL,NULL,NULL,NULL,20200131,161689,"    ",NULL,NULL
7720F,33922,1384511,13802,2006,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR HDQ-4GC       ","                                 ","DALLAS            ",TX,75235,2,113,US,20161212,20140122,"1T        ",5,5,"V ",52471323," ",20060110,NULL,NULL,NULL,NULL,NULL,20200131,219979,"    ",NULL,NULL
737JW,27869,1384404,13802,1999,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20150202,19990927,"1T        ",5,5,"V ",52362751," ",19990830,NULL,NULL,NULL,NULL,NULL,20180531,16771,"    ",NULL,NULL
16709,28779,13844BY,13802,1998,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150129,19980901,"1T        ",5,4,"V ",50207051," ",19980830,NULL,NULL,NULL,NULL,NULL,20180531,776961,"    ",NULL,NULL
20904,34824,1388002,30163,2012,NULL,"UNITED AIRLINES INC                               ","ATTN:TREASURER WILLIS TOWER      ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20150706,20121001,"1T        ",5,5,"V ",50332747," ",20120922,NULL,NULL,NULL,NULL,NULL,20181031,1104710,"    ",NULL,NULL
433SW,7550,1390008,30015,2001,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150818,20011231,"1T        ",5,5,"V ",51227750," ",20011129,NULL,NULL,NULL,NULL,NULL,20190131,763867,"    ",NULL,NULL
943AT,55006,1383700,9500,1999,NULL,"AIRTRAN AIRWAYS INC                               ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20140519,20140519,"1T        ",5,5,25,53214137," ",19990923,NULL,NULL,NULL,NULL,NULL,20170531,423747,"    ",NULL,NULL
8605E,36891,138440A,13078,2012,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20151205,20130108,"1T        ",5,5,"V ",52750743," ",20121219,NULL,NULL,NULL,NULL,NULL,20190131,1100021,"    ",NULL,NULL
